time,location,population,number_of_reproducing_cells,average_affinity,number_of_cells_with_1_children,number_of_cells_with_2_children,number_of_cells_with_3_children,number_of_cells_with_4_children,number_of_cells_with_5_children,number_of_cells_with_6_children,number_of_cells_with_7_children,number_of_cells_with_8_children,number_of_cells_with_9_children,clone_id
0,germinal_center,10,10,1.6116307237363844e+35,0,0,0,0,0,0,0,0,0,1
0,other,0,0,0.0,0,0,0,0,0,0,0,0,0,1
1,germinal_center,50,50,1.4275036748102217e+35,0,0,0,0,0,0,0,0,0,1
1,other,5,5,1.4803740263785853e+35,0,0,0,0,0,0,0,0,0,1
2,germinal_center,362,360,1.272861286616542e+35,0,1,0,1,4,1,3,0,1,1
2,other,12,12,1.480593834709895e+35,0,0,0,0,0,0,0,0,0,1
3,germinal_center,994,915,1.4209802395284353e+35,59,44,52,37,33,18,17,9,1,1
3,other,18,18,1.5728448123750315e+35,0,0,0,0,0,0,0,0,0,1
4,germinal_center,1000,567,1.5194138419652524e+35,283,167,72,27,5,3,0,2,0,1
4,other,20,20,1.5989300986257463e+35,0,0,0,0,0,0,0,0,0,1
5,germinal_center,996,554,1.761070797393108e+35,298,151,66,20,15,2,3,0,0,1
5,other,22,22,1.6113189164711068e+35,0,0,0,0,0,0,0,0,0,1
6,germinal_center,1000,559,2.3610757985351116e+35,291,155,62,15,15,5,2,3,0,1
6,other,28,28,1.7404464324005017e+35,0,0,0,0,0,0,0,0,0,1
7,germinal_center,1000,538,3.545557612898901e+35,288,134,56,30,14,10,1,0,1,1
7,other,31,31,1.6787964345193938e+35,0,0,0,0,0,0,0,0,0,1
8,germinal_center,1000,517,4.568388643279974e+35,247,140,69,35,16,3,4,0,0,1
8,other,34,34,1.9531064086040888e+35,0,0,0,0,0,0,0,0,0,1
9,germinal_center,1000,553,5.369846735613763e+35,293,136,69,25,17,6,1,0,0,1
9,other,40,40,2.568639274687083e+35,0,0,0,0,0,0,0,0,0,1
10,germinal_center,1000,564,6.010600831542128e+35,290,149,71,35,6,1,2,0,1,1
